Category,Outbreak,Location 1 1,Location 1 2 1,Location 1 2 2,Continent,Lat,Long,Date,Year,Cases,Fatalities,Impact Scale,Source Citation,Source,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27
Attacks,Violence,Afghanistan,Kandahar,,Asia,31.62887,65.73717,12/2015,2015.0,2.0,1.0,,"Shalizi, Hamid. ""Gunmen kill woman anti-polio volunteer in Afghanistan."" Reuters. December 28, 2015. ",http://news.yahoo.com/gunmen-kill-woman-anti-polio-volunteer-afghanistan-101240708.html,,,,,,,,,,,,,,
Attacks,Violence,Afghanistan,Kunar Province,,Asia,34.84659,71.09732,2/2016,2016.0,3.0,3.0,,"Radio Free Europe Radio Liberty. ""Three Polio Workers Killed in Eastern Afghanistan."" February 7, 2016.",http://www.rferl.org/content/polio-workers-killed-afghanistan/27537282.html,,,,,,,,,,,,,,
Polio,Polio,Afghanistan,,,Asia,33.4131,68.09326,1/2016-12/2016,2016.0,13.0,0.0,Cluster,"""Polio This Week as of March 15 2017."" Polio Global Eradication Initiative.",http://polioeradication.org/polio-today/polio-now/this-week/,,,,,,,,,,,,,,
Polio,Polio,Afghanistan,,,Asia,32.264539,68.524715,5/2017,2017.0,5.0,0.0,Cluster,"""Polio This Week as of 19 June 2017."" Polio Global Eradication Initiative. June 19, 2017.",http://polioeradication.org/polio-today/polio-now/this-week/,,,,,,,,,,,,,,
Measles,Measles,Algeria ,Adrar,,Africa,26.41813,-0.60147,1/2013,2013.0,87.0,0.0,Epidemic,"Saïd, Bentouba, ""87 cas enregistrés à Adrar : Alerte à la rougeole,"" Le Quotidien D'Oran, January 29, 2013.",http://www.lequotidien-oran.com/index.php?news=5178597&archive_date=2013-01-29,,,,,,,,,,,,,,
Measles,Measles,Angola,,,Africa,-11.24054,17.84369,1/2009-12/2009,2009.0,2657.0,0.0,Epidemic,"William j. Moss, Diane E. Griffin. ʺMeasles.ʺ The Lancet. January 14, 2012",http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(10)62352-5/fulltext,,,,,,,,,,,,,,
Measles,Measles,Angola,,,Africa,-11.12097,17.80746,1/2010-12/2010,2010.0,1679.0,0.0,Epidemic,"William j. Moss, Diane E. Griffin. ʺMeasles.ʺ The Lancet. January 14, 2012",http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(10)62352-5/fulltext,,,,,,,,,,,,,,
Polio,Polio,Angola,,,Africa,-11.236546,17.873887,2/2010,2010.0,24.0,0.0,Epidemic,"News-Medical. ""WHO says polio outbreak in Angola must be stopped to avoid 'international consequences'."" October 4, 2010.",http://www.news-medical.net/news/20101004/WHO-says-polio-outbreak-in-Angola-must-be-stopped-to-avoid-international-consequences.aspx,,,,,,,,,,,,,,
Measles,Measles,Angola,,,Africa,-13.000532,17.87389,8/2011,2011.0,16.0,8.0,Cluster,"Kubango, Kuando. ""Brote de sarampión mata ocho niños en Cuito Cuanavale."" Agency Angola Express (Menongue), August 23, 2011.","http://www.portalangop.co.ao/motix/es_es/noticias/saude/2011/7/34/Brote-sarampion-mata-ocho-ninos-Cuito-Cuanavale,9cb8daf8-026d-4c42-a118-abed6fc96903.html",,,,,,,,,,,,,,
Polio,Polio,Angola,,,Africa,-13.41099,16.78711,1/2011-12/2011,2011.0,5.0,0.0,Cluster,"Global Polio Eradication Initiative. ""Case breakdown by country."" August, 2012.",http://polioeradication.org/Dataandmonitoring/Poliothisweek.aspx,,,,,,,,,,,,,,
Measles,Measles,Angola,Cunene,,Africa,-16.4905382,14.6223476,11/2012,2012.0,19.0,0.0,Cluster,"""Plus de 10 cas de rougeole enregistrés au cours de 48 heures,"" Angola Press, November 5, 2012.","http://www.portalangop.co.ao/motix/fr_fr/noticias/saude/2012/10/45/Plus-cas-rougeole-enregistres-cours-heures,ece01afb-2c21-4cc5-8ca0-9d0020afea01.html",,,,,,,,,,,,,,
Measles,Measles,Angola,Huila,,Africa,-14.92806,14.65878,10/2012,2012.0,35.0,5.0,Cluster,"Measles kills five children in Chibia, Agencia AngolaPress, October 19, 2012.","http://www.portalangop.co.ao/motix/en_us/noticias/saude/2012/9/42/Measles-kills-five-children-Chibia,e4cbb12c-f641-4280-b910-3e1f71e33eaf.html",,,,,,,,,,,,,,
Measles,Measles,Angola,Kuando Kubango,,Africa,-16.41808,18.80762,2012-10-01T00:00:00Z,2012.0,320.0,10.0,Epidemic,"Measles outbreak kills 10 in less than a month in Kuando Kubango. Agency Angola Press. October 11, 2012.","http://www.portalangop.co.ao/motix/en_us/noticias/saude/2012/9/41/Measles-outbreak-kills-less-than-month-Kuando-Kubango,e9fbf016-3095-4104-9544-9faf68a81c75.html",,,,,,,,,,,,,,
Measles,Measles,Angola,Uige,,Africa,-7.17367,15.40681,6/2013,2013.0,45.0,0.0,Cluster,"Agencia AngolaPress. ""Au moins 40 nouveaux cas de rougeole notifiés à Uíge.""June 26, 2013.  ","http://www.portalangop.co.ao/motix/fr_fr/noticias/saude/2013/5/26/moins-nouveaux-cas-rougeole-notifies-Uige,643f0885-925a-489e-afc5-fab8b7861cc3.html",,,,,,,,,,,,,,
Measles,Measles,Angola,Kwanza North,,Africa,-7.17367,15.40681,4/2014,2014.0,66.0,0.0,Cluster,"ProMED Mail. ""Measles Update 14."" April 8, 2014.",http://www.promedmail.org/direct.php?id=2386474,,,,,,,,,,,,,,
Other,Yellow Fever,Angola,,,Africa,-13.000532,17.87389,12/2015-9/2016,2016.0,884.0,373.0,Epidemic,"World Health Organization. ""Yellow Fever Outbreak in Angola."" September 29, 2016. ",http://www.afro.who.int/en/yellow-fever/sitreps/item/9085-situation-report-yellow-fever-outbreak-in-angola-29-september-2016.html,,,,,,,,,,,,,,
Measles,Measles,Argentina,,,South America,-34.60372,-58.38159,5/2012,2012.0,1.0,0.0,Isolated,"Measles Outbreak Alert Issued by Ministry of Health. Diario de Cuyo. May 26, 2012.",http://www.diariodecuyo.com.ar/home/new_noticia.php?noticia_id=520602,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Argentina,,,South America,-38.4161,-63.61667,5/2012,2012.0,597.0,0.0,Epidemic,"Fernandez, Marcela. ""En 2012, crecieron 90% los casos de tos convulsa."" LaVoz Ciudadanos. May 15, 2012.",http://www.lavoz.com.ar/ciudadanos/2012-crecieron-90-casos-tos-convulsa,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Argentina,,,South America,-38.4161,-63.61667,5/2011,2011.0,315.0,0.0,Epidemic,"Fernandez, Marcela. ""En 2012, crecieron 90% los casos de tos convulsa."" LaVoz Ciudadanos. May 15, 2012.",http://www.lavoz.com.ar/ciudadanos/2012-crecieron-90-casos-tos-convulsa,,,,,,,,,,,,,,
Measles,Measles,Argentina,,,South America,-34.60372,-58.38159,6/2013,2013.0,1.0,0.0,Isolated,"Reporte Epidemiológico de Córdoba, Argentina. June 12, 2013.",http://www.vetcomunicaciones.com.ar/page/articulos/id/135/title/Reporte-Epidemiol%C3%83%C2%B3gico-de-C%C3%83%C2%B3rdoba.-Argentina,,,,,,,,,,,,,,
Measles,Measles,Australia ,Victoria,             ,Australia,-38.471308,140.785153,2/2009,2009.0,18.0,0.0,Cluster,"Miller, Nick. ""Warning over biggest measles outbreak in years."" The Age, February 4, 2009.",http://www.theage.com.au/national/warning-over-biggest-measles-outbreak-in-years-20090204-7xjl.html,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Australia ,Gladstone Region,,Australia,-23.805604,151.254637,10/2010,2010.0,65.0,0.0,Epidemic,"Downey, Kelli. ""Whooping cough outbreak sweeps region."" The Observer, October 20, 2010.",http://www.gladstoneobserver.com.au/story/2010/10/20/outbreak-poses-a-risk-to-babies/,,,,,,,,,,,,,,
Measles,Measles,Australia ,New South Wales,,Australia,-30.253218,146.921099,9/2010,2010.0,1.0,0.0,Isolated,Measles notifications in NSW residents - NSW Department of Health. NSW Ministry of Health - NSW Health.,http://www.health.nsw.gov.au/data/diseases/measles.asp,,,,,,,,,,,,,,
Measles,Measles,Australia ,Queensland,,Australia,-24.917574,145.902796,9/2010,2010.0,2.0,0.0,Secondary,"Bedo, Stephanie. ""Coast measles outbreak sparks concern."" Goldcoast (Gold Coast), March 21, 2011.",http://www.goldcoast.com.au/article/2011/03/21/300795_gold-coast-news.html,,,,,,,,,,,,,,
Measles,Measles,Australia ,Western Australia,,Australia,-27.672817,121.62831,6/2010,2010.0,2.0,0.0,Secondary,"ABC News (Queensland), ""Alert issued over possible measles infection."" June 7, 2010.",http://www.abc.net.au/news/stories/2010/06/07/2920169.htm,,,,,,,,,,,,,,
Measles,Measles,Australia ,Adelaide,,Australia,-34.92113,138.58377,12/2011,2011.0,1.0,0.0,Isolated,"News.com.au. ""Woman with Measles Sparks SA Health Alert."" December 19, 2011.",http://www.news.com.au/teenager-with-measles-sparks-sa-health-alert/story-e6frea83-1226226045534,,,,,,,,,,,,,,
Measles,Measles,Australia ,Australian Capital Territory,,Australia,-35.47347,149.01237,11/2011,2011.0,12.0,0.0,Cluster,"Thorpe, Clarissa . ""ACT measles outbreak reaches 12."" ABC News, November 30, 2011.",http://www.abc.net.au/news/2011-11-29/act-measles-outbreak-reaches-12/3702420?section=act,,,,,,,,,,,,,,
Measles,Measles,Australia ,Blacktown,,Australia,-33.769464,150.908493,3/2011,2011.0,14.0,0.0,Cluster,"Soon, Nick . ""Warning on measles outbreak in Blacktown local government area."" Blacktown Sun , March 11, 2011.",http://www.blacktownsun.com.au/news/local/news/general/warning-on-measles-outbreak-in-blacktown-local-government-area/2100834.aspx,,,,,,,,,,,,,,
Measles,Measles,Australia ,Brisbane,,Australia,-27.47101,153.02345,1/2011,2011.0,3.0,0.0,Secondary,"Notes from the Field : Multiple Cases of Measles After Exposure During Air Travel --- Australia and New Zealand, January 2011 . Centers for Disease Control and Prevention.",http://www.cdc.gov/mmwr/preview/mmwrhtml/mm6025a4.htm?s_cid=mm6025a4_e&source=govdelivery,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Australia ,New South Wales,,Australia,-33.28462,144.31641,1/2011-12/2011,2011.0,13167.0,0.0,Epidemic,"NSW Government, ""Pertussis notifications in NSW residents,"" August 6, 2012.",http://www.health.nsw.gov.au/data/diseases/pertussis.asp,,,,,,,,,,,,,,
Measles,Measles,Australia ,New South Wales,,Australia,-32.253218,146.921099,3/2011,2011.0,29.0,0.0,Cluster,Measles alert - Make sure you are vaccinated - NSW Department of Health. NSW Ministry of Health - NSW Health.,http://www.health.nsw.gov.au/news/2011/20110324_00.html,,,,,,,,,,,,,,
Measles,Measles,Australia ,Northern Territory,,Australia,-19.491411,132.55096,8/2011,2011.0,1.0,0.0,Isolated,"Nightingale, Tom. ""Sick backpacker sparks Red Centre measles alert."" Sick backpacker sparks Red Centre measles alert (Alice Springs), August 18, 2011.",http://www.abc.net.au/news/2011-08-18/20110818alice-measles-alert/2845316,,,,,,,,,,,,,,
Measles,Measles,Australia ,Queensland,,Australia,-23.917574,141.702796,4/2011,2011.0,12.0,0.0,Cluster,"Miles, Janelle. ""Be alert for measles outbreak."" Courier Mail (Queensland), April 20, 2011.",http://www.couriermail.com.au/lifestyle/be-alert-for-measles-outbreak/story-e6frer4f-1226042399293,,,,,,,,,,,,,,
Measles,Measles,Australia ,South Australia,,Australia,-30.000232,136.209155,8/2011,2011.0,2.0,0.0,Secondary,"Pengelley, Jill. ""New measles cases prompt warning."" AdelaideNow (Queensland), August 11, 2011.",http://www.adelaidenow.com.au/news/south-australia/new-measles-cases-prompt-warning/story-e6frea83-1226113247592,,,,,,,,,,,,,,
Measles,Measles,Australia ,Victoria,,Australia,-37.471308,141.785153,2/2011,2011.0,15.0,0.0,Cluster,"Van Den Berg, Lucie . ""Measles outbreak sparks vaccination warning from health authorities."" Herald Sun (Melbourne), February 17, 2011.",http://www.heraldsun.com.au/news/victoria/measles-outbreak-sparks-vaccination-warning-from-health-authorities/story-e6frf7kx-1226007427425,,,,,,,,,,,,,,
Measles,Measles,Australia ,Victoria,,Australia,-35.471308,144.785153,4/2011,2011.0,4.0,0.0,Secondary,"ABC News (Queensland), ""Health department issues measles alert."" April 18, 2011.",http://www.abc.net.au/news/2011-04-16/health-department-issues-measles-alert/2613012?section=justin,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Australia ,Western Australia,,Australia,-26.71617,122.10205,1/2011-12/2011,2011.0,3597.0,0.0,Epidemic,"Campbell, Linda. ""Whooping cough cases on the rise."" IEWY News, January 3, 2012;
 
",http://www.iewy.com/39153-whooping-cough-cases-on-the-rise.html,,,,,,,,,,,,,,
Other,Diphtheria,Australia ,Brisbane,,Australia,-27.469771,153.025124,5/2011,2011.0,1.0,1.0,Secondary,"Herald Sun. ""Diphtheria case 'shocking': AMA."" May 3, 2011.",http://www.heraldsun.com.au/news/breaking-news/diphtheria-case-shocking-ama/news-story/8bb96beea903aacf3048344c222ba1df,,,,,,,,,,,,,,
Measles,Measles,Australia ,Adelaide,,Australia,-37.96443,145.05598,2/2012,2012.0,2.0,0.0,Secondary,"Seven News Adelaide. ""Alert issued over 2nd measles case."" February 8, 2012.",http://au.news.yahoo.com/latest/a/-/latest/12847286/alert-issued-over-second-measles-case/,,,,,,,,,,,,,,
Measles,Measles,Australia ,Campbelltown,,Australia,-34.06777,150.81319,7/2012,2012.0,22.0,0.0,Cluster,"Pleffer, Alexander. ""Moves to contain measles outbreak."" Campbelltown MacArther Adviser. July 25, 2012.",http://www.macarthuradvertiser.com.au/news/local/news/general/moves-to-contain-measles-outbreak/2635057.aspx,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Australia ,New South Wales,,Australia,-33.13755,146.42578,1/2012-8/2012,2012.0,3722.0,0.0,Epidemic,"NSW Government, ""Pertussis notifications in NSW residents,"" August 6, 2012.",http://www.health.nsw.gov.au/data/diseases/pertussis.asp,,,,,,,,,,,,,,
Measles,Measles,Australia ,Queensland,,Australia,-25.12539,144.22852,7/2012,2012.0,1.0,0.0,Isolated,"Sykes, Emma. ""Confirmed case of measles in Brisbane."" ABC. July 16, 2012.",http://www.abc.net.au/local/stories/2012/07/16/3546915.htm,,,,,,,,,,,,,,
Measles,Measles,Australia ,Sydney,,Australia,-22.73591,140.018765,1/2012-11/2012,2012.0,89.0,0.0,Epidemic,"Lawrence Machado, ""Measles cases prompt health warning in The Hills, western Sydney,"" Rouse Hill Times, November 12, 2012.",http://rouse-hill-times.whereilive.com.au/news/story/measles-cases-prompt-health-warning-in-the-hills-western-sydney/,,,,,,,,,,,,,,
Mumps,Mumps,Australia ,,,Australia,-31.95301,115.85747,12/2012-3/2013,2013.0,30.0,0.0,Cluster,"O'Leary, Cathy. ""Warning on mumps outbreak."" The West Australian. March 26, 2013.",http://au.news.yahoo.com/thewest/a/-/breaking/16443436/warning-on-mumps-outbreak/,,,,,,,,,,,,,,
Measles,Measles,Australia ,Adelaide,,Australia,-34.92862,138.59996,4/2013,2013.0,3.0,0.0,Isolated,"Adelaide Now. ""Third case of measles confirmed in South Australia."" April 8, 2013.                            ",http://www.adelaidenow.com.au/news/south-australia/third-case-of-measles-confirmed-in-south-australia/story-e6frea83-1226615128968,,,,,,,,,,,,,,
Mumps,Mumps,Australia ,New South Wales,,Australia,-31.25322,146.9211,6/2013,2013.0,15.0,0.0,Cluster,"Jeremy McAnulty. ""Measles Mumps Rubella Vaccination."" NSW Government Health. June 13, 2013.",http://www.health.nsw.gov.au/Infectious/alerts/Documents/Mumps_GP_info_13June2013.pdf,,,,,,,,,,,,,,
Measles,Measles,Australia ,New South Wales,,Australia,-28.23696,153.5098,9/2013,2013.0,1.0,0.0,Isolated,"The Northern Star. ""Tweed measles alert: Public health warns of rising cases,"" September 11, 2013. ",http://www.northernstar.com.au/news/tweed-measles-alert-public-health-warn-of-rising-c/2017029/,,,,,,,,,,,,,,
Measles,Measles,Australia ,Perth,,Australia,-31.94725,115.86065,12/2013,2013.0,1.0,0.0,Isolated,"Government of Western Australia Department of Health. ""Measles warning issued for passengers on Jakarta-Perth flight."" December 19, 2013.",http://health.wa.gov.au/press/view_press.cfm?id=1379,,,,,,,,,,,,,,
Measles,Measles,Australia ,Queensland,,Australia,-27.61409,152.75847,11/2013,2013.0,35.0,0.0,Cluster,"The Brisbane Times. ""Measles outbreak hits Queensland."" November 8, 2013.",http://www.brisbanetimes.com.au/queensland/measles-outbreak-hits-queensland-20131108-2x678.html,,,,,,,,,,,,,,
Measles,Measles,Australia ,Sydney,,Australia,-33.88305,151.11442,9/2013,2013.0,3.0,0.0,Cluster,"ABC 7 News. ""Measles warning for Sydney after three cases in inner west."" September 24, 2013. ",http://au.news.yahoo.com/a/19082400/measles-warning-for-sydney-after-3-cases-in-inner-west/,,,,,,,,,,,,,,
Measles,Measles,Australia ,Victoria,,Australia,-37.81411,144.96328,8/2013,2013.0,10.0,0.0,Cluster,"Medew, Julia. ""Measles outbreak fear as virus spreads."" The Age Victoria. August 26, 2013.",http://www.theage.com.au/victoria/measles-outbreak-fear-as-virus-spreads-20130826-2skyo.html,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Australia ,Ballarat,,Australia,-37.56365,143.86719,1/2014-12/2014,2014.0,218.0,0.0,Epidemic,"Henderson, Fiona. "" Concern over increase in whooping cough cases .""Courier. January 20, 2015.",http://www.thecourier.com.au/story/2830210/whooping-cough-cases-up-by-700-in-ballarat/?cs=12,,,,,,,,,,,,,,
Measles,Measles,Australia ,Brisbane,,Australia,-27.47101,153.02345,5/2014,2014.0,1.0,0.0,Isolated,"McKenna, Kate. ""Measles alert at Stuartholme Catholic girls’ school."" Courier Mail. May 16, 2014.",http://www.couriermail.com.au/news/queensland/measles-alert-at-stuartholme-catholic-girls-school/story-fnihsrf2-1226920797447,,,,,,,,,,,,,,
Measles,Measles,Australia ,Melbourne,,Australia,-37.74181,144.90346,8/2014,2014.0,3.0,0.0,Cluster,"AAP. ""Three measles cases at Melbourne school."" August 20, 2014.",http://www.sbs.com.au/news/article/2014/08/20/three-measles-cases-melbourne-school,,,,,,,,,,,,,,
Measles,Measles,Australia ,"Nambour, Queensland",,Australia,-26.62935,152.95936,11/2014,2014.0,1.0,0.0,Isolated,"Sunshine Coast Daily. ""Measles outbreak at Nambour church service."" November 21, 2014.",http://www.sunshinecoastdaily.com.au/news/measles-outbreak-nambour-church-service/2460574/,,,,,,,,,,,,,,
Measles,Measles,Australia ,New South Wales,,Australia,-31.25322,146.9211,1/2014,2014.0,10.0,0.0,Cluster,"The Northern Star. ""Protect yourself from measles outbreak."" January 30, 2014. ",http://www.northernstar.com.au/news/protect-yourself-from-measles-outbreak/2154440/,,,,,,,,,,,,,,
Measles,Measles,Australia ,New South Wales,,Australia,-32.16,147,10/2014,2014.0,1.0,1.0,Isolated,"Queensland Times. ""Whooping cough death highlights need for immunisation."" October 6, 2014.",http://www.qt.com.au/news/Whooping-cough-death-highlights-need-for-immunisat/2408599/,,,,,,,,,,,,,,
Measles,Measles,Australia ,Northern Territory,,Australia,-19.49141,132.55096,2/2014,2014.0,19.0,0.0,Cluster,"ProMed Mail. ""Measles Update 06."" February 9, 2014.",http://www.promedmail.org/,,,,,,,,,,,,,,
Measles,Measles,Australia ,Perth,,Australia,-31.94725,115.86065,1/2014,2014.0,1.0,0.0,Isolated,"Government of Western Australia Department of Health. ""Measles warning issued for people who attended Garden City Hoyts Cinema Complex."" January 16, 2014",http://health.wa.gov.au/press/view_press.cfm?id=1385,,,,,,,,,,,,,,
Measles,Measles,Australia ,Queensland,,Australia,-27.56433,151.95399,1/2014-10/2014,2014.0,59.0,0.0,Epidemic,"Sky News. ""Measles outbreak on Jetstar flight."" October 29, 2014.",http://www.skynews.com.au/news/local/brisbane/2014/10/20/measles-outbreak-on-jetstar-flight.html,,,,,,,,,,,,,,
Measles,Measles,Australia ,Swansea,,Australia,-33.08941,151.63696,1/2014,2014.0,4.0,0.0,Cluster,"Rarken. ""Four new cases of measles at Gower College Swansea Tycoch campus."" South Wales Evening Post."" January 29, 2014.",http://www.southwales-eveningpost.co.uk/new-cases-measles-Gower-College-Swansea-Tycoch/story-20521675-detail/story.html,,,,,,,,,,,,,,
Measles,Measles,Australia ,Tasmania,,Australia,-41.36504        ,146.62849,8/2014,2014.0,8.0,0.0,Cluster,"Stephens, Jodie. ""Tasmanian measles cases rise."" The Examiner. August 13, 2014.",http://www.examiner.com.au/story/2483987/tasmanian-measles-cases-rise/?cs=12,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Australia ,Victoria,,Australia,-37.81355        ,144.95975,1/2014-12/2014,2014.0,4606.0,0.0,Epidemic,"Van Den Berg, Lucie. ""Babies most at risk of whooping cough."" Herald Sun. January 10, 2015.",http://www.heraldsun.com.au/news/victoria/babies-most-at-risk-of-whooping-cough/story-fni0fit3-1227180816224?nk=fab3c8ec3ba379507c85b1fabdb9cf19,,,,,,,,,,,,,,
Measles,Measles,Australia ,Victoria,,Australia,-37.80897,144.96527,12/2014,2014.0,2.0,0.0,Cluster,"Outbreak News Today. ""Measles linked to RMIT University graduation prompts health warning."" January 5, 2015.",http://outbreaknewstoday.com/measles-linked-to-rmit-university-graduation-prompts-health-warning-57848/,,,,,,,,,,,,,,
Measles,Measles,Australia ,Western Australia,,Australia,-26,121,1/2014-9/2014,2014.0,39.0,0.0,Epidemic,"O'leary, Cathy. ""Measles cases at 15-yr high."" The West Australian. September 27, 2014.",https://au.news.yahoo.com/thewest/wa/a/25122867/measles-cases-at-15-yr-high/,,,,,,,,,,,,,,
Mumps,Mumps,Australia ,Western Australia,,Australia,-27.67282,121.62831,4/2015,2015.0,6.0,0.0,Cluster,"Colins, Ben. ""No kissing in the Kimberley: infectious mumps outbreak.""ABC Kimberley News. April 24, 2015.",http://www.abc.net.au/local/photos/2015/04/24/4223311.htm,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Australia ,Adelaide,,Australia,-34.92862,138.59996,12/2015,2015.0,985.0,0.0,Epidemic,"Stokes, Katrina. ""Vaccination plea: Whooping cough numbers at four-year high in SA."" The Advertiser. December 1, 2015. ",http://www.adelaidenow.com.au/news/south-australia/vaccination-plea-whooping-cough-numbers-at-fouryear-high-in-sa/news-story/35943866cd7c4a1ec21a2c2f9c42ad4a,,,,,,,,,,,,,,
Measles,Measles,Australia ,Adelaide,,Australia,-34.92862,138.59996,12/2015,2015.0,1.0,0.0,Secondary,"9 News.""Measles alert issued after confirmed case in Adelaide’s northeast
"" December 8, 2015. ",http://www.9news.com.au/health/2015/12/08/01/55/measles-alert-issued-after-confirmed-case-in-adelaides-northeast,,,,,,,,,,,,,,
Measles,Measles,Australia ,Brisbane,,Australia,-27.49543,153.01203,8/2015,2015.0,7.0,0.0,Cluster,"Northern Rivers Echo. ""Seven measles cases in five weeks at Queensland uni."" August 24, 2015. ",http://www.echonews.com.au/news/seven-cases-measles-five-weeks-queensland-uni/2750954/,,,,,,,,,,,,,,
